10,Arkansas
11,California
12,Colorado
13,Connecticut
14,Delaware
15,DC
16,Florida
17,Georgia
18,Hawaii
19,Idaho
2,AllStatesU
20,Illinois
21,Indiana
22,Iowa
23,Kansas
24,Kentucky
25,Louisiana
26,Maine
27,Maryland
28,Massachusetts
29,Michigan
3,AllStatesS
30,Minnesota
31,Mississippi
32,Missouri
33,Montana
34,Nebraska
35,Nevada
36,NewHampshire
37,NewJersey
38,NewMexico
39,NewYork
4,RegionDivisionU
40,NorthCarolina
41,NorthDakota
42,Ohio
43,Oklahoma
44,Oregon
45,Pennsylvania
46,PuertoRico
47,RhodeIsland
48,SouthCarolina
49,SouthDakota
5,RegionDivisionS
50,Tennessee
51,Texas
52,Utah
53,Vermont
54,Virginia
56,Washington
57,WestVirginia
58,Wisconsin
59,Wyoming
60,Metro
61,Division
62,Micro
63,Combined
64,County
65,City
7,Alabama
8,Alaska
9,Arizona
